,language,relation,percentage change,new ratio of rows,old ratio of rows
357,German,P39,244.905,0.026,0.008
319,English,P264,221.038,0.065,0.02
506,Danish,P264,201.396,0.069,0.023
276,Slovenian,P1303,179.534,0.027,0.01
351,German,P264,172.157,0.065,0.024
210,Polish,P641,151.886,0.01,0.004
61,Dutch,P101,149.638,0.089,0.036
110,Swedish,P264,147.333,0.061,0.025
538,French,P264,147.04,0.07,0.028
606,Romanian,P364,137.821,0.017,0.007
302,English,P101,136.864,0.091,0.038
93,Swedish,P101,130.64,0.081,0.035
403,Czech,P1303,129.374,0.04,0.017
540,French,P30,127.965,0.079,0.035
570,Italian,P264,126.88,0.059,0.026
609,Romanian,P407,125.495,0.032,0.014
360,German,P449,123.804,0.049,0.022
383,Portuguese,P264,123.366,0.052,0.023
54,Ukrainian,P413,122.208,0.043,0.02
521,French,P101,117.976,0.076,0.035
145,Hungarian,P413,117.478,0.059,0.027
78,Dutch,P264,115.448,0.05,0.023
447,Spanish,P264,113.131,0.05,0.024
34,Ukrainian,P1303,111.626,0.007,0.004
477,Croatian,P264,110.362,0.148,0.07
415,Czech,P264,109.582,0.115,0.055
204,Polish,P39,108.532,0.018,0.009
409,Czech,P159,106.441,0.042,0.02
288,Slovenian,P264,103.6,0.138,0.068
149,Catalan,P101,100.139,0.069,0.034
334,German,P101,99.91,0.09,0.045
585,Romanian,P101,99.107,0.032,0.016
309,English,P136,98.796,0.094,0.047
485,Croatian,P449,97.41,0.044,0.022
602,Romanian,P264,95.129,0.059,0.03
489,Danish,P101,93.569,0.068,0.035
166,Catalan,P264,93.568,0.054,0.028
296,Slovenian,P413,93.554,0.049,0.025
421,Czech,P39,93.374,0.015,0.008
553,Italian,P101,91.21,0.062,0.032
472,Croatian,P159,90.684,0.009,0.005
226,Russian,P264,89.429,0.149,0.078
282,Slovenian,P159,84.702,0.025,0.013
198,Polish,P264,84.567,0.103,0.056
512,Danish,P39,83.891,0.051,0.028
129,Hungarian,P1303,83.834,0.029,0.016
577,Italian,P407,83.409,0.043,0.024
159,Catalan,P1412,83.089,0.06,0.033
510,Danish,P364,83.04,0.07,0.038
339,German,P1303,82.8,0.034,0.019
304,English,P106,81.299,0.068,0.038
542,French,P364,78.293,0.03,0.017
330,English,P495,77.73,0.092,0.052
233,Russian,P413,77.466,0.079,0.045
467,Croatian,P1303,77.336,0.018,0.01
87,Dutch,P449,74.417,0.088,0.05
341,German,P136,74.295,0.076,0.044
256,Bulgarian,P264,74.292,0.045,0.026
430,Spanish,P101,73.02,0.042,0.024
451,Spanish,P364,72.562,0.013,0.008
84,Dutch,P39,72.506,0.028,0.016
116,Swedish,P39,72.376,0.059,0.034
239,Bulgarian,P101,70.348,0.022,0.013
298,Slovenian,P47,69.13,0.029,0.017
563,Italian,P1412,67.113,0.047,0.028
28,Serbian,P740,66.697,0.002,0.001
109,Swedish,P20,66.281,0.089,0.054
294,Slovenian,P39,65.556,0.049,0.03
156,Catalan,P136,65.548,0.081,0.049
389,Portuguese,P39,65.348,0.053,0.032
146,Hungarian,P449,64.894,0.002,0.001
119,Swedish,P449,64.409,0.09,0.054
560,Italian,P136,62.02,0.061,0.038
579,Italian,P449,61.251,0.092,0.057
80,Dutch,P30,60.721,0.063,0.039
100,Swedish,P136,59.981,0.088,0.055
271,Slovenian,P101,59.921,0.088,0.055
126,Hungarian,P103,59.243,0.11,0.069
366,Portuguese,P101,58.378,0.059,0.038
581,Italian,P495,58.106,0.073,0.046
46,Ukrainian,P264,57.504,0.104,0.066
491,Danish,P106,56.891,0.063,0.04
373,Portuguese,P136,56.686,0.08,0.051
528,French,P136,56.528,0.063,0.04
178,Catalan,P641,56.389,0.011,0.007
547,French,P449,55.973,0.098,0.063
398,Czech,P101,55.517,0.084,0.054
576,Italian,P39,55.463,0.062,0.04
484,Croatian,P413,55.184,0.01,0.006
95,Swedish,P106,55.172,0.069,0.045
148,Hungarian,P641,54.588,0.016,0.01
456,Spanish,P449,54.527,0.095,0.062
392,Portuguese,P449,54.171,0.078,0.051
58,Ukrainian,P641,52.917,0.03,0.02
188,Polish,P136,51.999,0.076,0.05
336,German,P106,51.843,0.05,0.033
138,Hungarian,P264,51.516,0.098,0.065
594,Romanian,P138,50.254,0.02,0.013
496,Danish,P136,50.102,0.075,0.05
544,French,P39,49.715,0.031,0.021
390,Portuguese,P407,49.56,0.037,0.025
375,Portuguese,P138,49.419,0.018,0.012
437,Spanish,P136,48.968,0.069,0.046
68,Dutch,P136,48.042,0.053,0.036
592,Romanian,P136,47.791,0.087,0.059
241,Bulgarian,P106,47.758,0.064,0.043
175,Catalan,P449,47.536,0.091,0.062
29,Ukrainian,P101,46.763,0.06,0.041
611,Romanian,P449,46.324,0.097,0.066
494,Danish,P1303,46.096,0.02,0.014
613,Romanian,P495,45.779,0.079,0.054
66,Dutch,P1303,45.614,0.023,0.016
462,Croatian,P101,45.242,0.089,0.061
218,Russian,P131,44.472,0.007,0.005
315,English,P176,44.404,0.026,0.018
486,Croatian,P47,43.013,0.001,0.001
143,Hungarian,P39,42.696,0.072,0.05
566,Italian,P176,42.673,0.031,0.022
31,Ukrainian,P106,42.633,0.08,0.056
482,Croatian,P39,41.859,0.024,0.017
483,Croatian,P407,41.769,0.044,0.031
7,Serbian,P136,41.097,0.036,0.026
328,English,P449,40.281,0.063,0.045
173,Catalan,P407,40.124,0.028,0.02
268,Bulgarian,P641,40.051,0.011,0.008
431,Spanish,P103,39.671,0.026,0.019
426,Czech,P495,38.89,0.009,0.007
213,Russian,P101,38.843,0.037,0.027
181,Polish,P101,38.261,0.076,0.055
452,Spanish,P37,38.204,0.031,0.023
102,Swedish,P138,37.566,0.017,0.012
63,Dutch,P106,37.287,0.055,0.04
202,Polish,P364,37.018,0.074,0.054
604,Romanian,P30,36.52,0.058,0.042
17,Serbian,P30,36.389,0.028,0.02
172,Catalan,P39,36.156,0.047,0.035
368,Portuguese,P106,35.987,0.044,0.032
24,Serbian,P449,35.852,0.032,0.023
555,Italian,P106,35.475,0.044,0.032
264,Bulgarian,P413,34.497,0.022,0.016
207,Polish,P449,33.579,0.157,0.117
325,English,P39,33.115,0.044,0.033
15,Serbian,P264,33.003,0.104,0.078
36,Ukrainian,P136,32.925,0.081,0.061
424,Czech,P449,31.831,0.155,0.117
85,Dutch,P407,31.526,0.019,0.014
530,French,P138,31.461,0.016,0.012
562,Italian,P138,31.208,0.016,0.012
246,Bulgarian,P136,31.09,0.062,0.047
574,Italian,P364,30.469,0.031,0.024
205,Polish,P407,29.53,0.029,0.022
448,Spanish,P276,28.307,0.02,0.015
174,Catalan,P413,28.197,0.036,0.028
280,Slovenian,P138,28.173,0.002,0.002
358,German,P407,27.941,0.022,0.017
214,Russian,P106,27.127,0.082,0.065
234,Russian,P449,26.879,0.152,0.119
387,Portuguese,P364,26.76,0.062,0.049
219,Russian,P136,26.599,0.144,0.113
171,Catalan,P37,26.563,0.04,0.032
127,Hungarian,P106,26.43,0.126,0.1
432,Spanish,P106,26.155,0.036,0.028
515,Danish,P449,25.8,0.062,0.049
244,Bulgarian,P1303,25.649,0.028,0.023
311,English,P138,25.388,0.014,0.011
439,Spanish,P138,25.376,0.017,0.013
534,French,P176,25.287,0.03,0.024
5,Serbian,P1303,25.023,0.018,0.014
440,Spanish,P1412,23.961,0.045,0.036
183,Polish,P106,23.356,0.081,0.066
254,Bulgarian,P19,23.34,0.069,0.056
443,Spanish,P176,23.078,0.029,0.024
158,Catalan,P138,22.877,0.015,0.012
531,French,P1412,22.652,0.031,0.025
608,Romanian,P39,22.549,0.046,0.038
258,Bulgarian,P30,22.471,0.029,0.024
0,Serbian,P101,22.209,0.07,0.057
249,Bulgarian,P1412,22.156,0.039,0.032
347,German,P176,21.751,0.012,0.01
151,Catalan,P106,20.636,0.041,0.034
170,Catalan,P364,20.382,0.019,0.015
513,Danish,P407,20.283,0.027,0.022
53,Ukrainian,P407,20.057,0.028,0.023
55,Ukrainian,P449,19.971,0.161,0.135
177,Catalan,P495,19.497,0.049,0.041
190,Polish,P138,19.23,0.008,0.007
270,Bulgarian,P937,18.947,0.071,0.059
22,Serbian,P407,18.693,0.035,0.029
517,Danish,P495,18.378,0.064,0.054
453,Spanish,P39,18.308,0.05,0.042
74,Dutch,P176,18.272,0.024,0.02
192,Polish,P159,18.249,0.038,0.032
385,Portuguese,P30,17.843,0.026,0.022
353,German,P30,17.644,0.053,0.045
379,Portuguese,P176,17.536,0.023,0.02
607,Romanian,P37,17.37,0.014,0.012
98,Swedish,P1303,17.32,0.023,0.019
297,Slovenian,P449,17.319,0.157,0.133
2,Serbian,P106,17.278,0.171,0.146
35,Ukrainian,P131,17.198,0.012,0.01
487,Croatian,P495,17.01,0.002,0.001
112,Swedish,P30,16.877,0.038,0.033
428,Czech,P740,16.671,0.012,0.011
407,Czech,P138,16.543,0.009,0.007
498,Danish,P138,15.925,0.013,0.012
23,Serbian,P413,14.775,0.013,0.011
186,Polish,P1303,13.949,0.009,0.008
131,Hungarian,P136,13.667,0.066,0.058
4,Serbian,P127,13.657,0.016,0.014
236,Russian,P641,13.513,0.022,0.019
344,German,P1412,13.507,0.063,0.056
40,Ukrainian,P159,13.371,0.021,0.019
263,Bulgarian,P407,13.277,0.027,0.024
206,Polish,P413,12.47,0.052,0.046
423,Czech,P413,12.137,0.035,0.031
27,Serbian,P641,12.09,0.018,0.016
469,Croatian,P136,12.067,0.099,0.088
70,Dutch,P138,11.252,0.013,0.012
144,Hungarian,P407,11.238,0.03,0.027
257,Bulgarian,P276,10.937,0.02,0.018
362,German,P495,10.867,0.031,0.028
242,Bulgarian,P108,10.776,0.019,0.017
50,Ukrainian,P364,10.383,0.115,0.104
117,Swedish,P407,10.375,0.018,0.017
217,Russian,P1303,10.074,0.005,0.005
221,Russian,P159,10.074,0.001,0.001
255,Bulgarian,P20,10.035,0.059,0.053
545,French,P407,9.936,0.025,0.023
405,Czech,P136,9.93,0.082,0.075
499,Danish,P1412,9.702,0.042,0.039
295,Slovenian,P407,9.621,0.013,0.012
12,Serbian,P176,9.207,0.067,0.061
52,Ukrainian,P39,9.205,0.011,0.01
275,Slovenian,P127,9.099,0.017,0.016
32,Ukrainian,P108,9.003,0.039,0.036
523,French,P106,8.789,0.045,0.042
13,Serbian,P178,8.772,0.116,0.106
230,Russian,P37,8.393,0.043,0.04
400,Czech,P106,7.71,0.074,0.069
445,Spanish,P19,7.281,0.061,0.057
19,Serbian,P364,7.163,0.1,0.093
460,Spanish,P740,6.917,0.062,0.058
587,Romanian,P106,6.826,0.043,0.04
262,Bulgarian,P39,6.664,0.033,0.031
162,Catalan,P176,6.416,0.024,0.023
359,German,P413,6.287,0.025,0.023
86,Dutch,P413,6.267,0.04,0.038
141,Hungarian,P364,6.135,0.122,0.115
425,Czech,P47,5.4,0.01,0.009
48,Ukrainian,P30,5.212,0.023,0.022
265,Bulgarian,P449,4.944,0.059,0.056
525,French,P127,4.597,0.008,0.008
615,Romanian,P740,4.152,0.069,0.066
212,Polish,P937,3.868,0.005,0.005
395,Portuguese,P641,3.823,0.005,0.005
215,Russian,P108,3.535,0.095,0.092
317,English,P19,3.359,0.05,0.048
318,English,P20,3.332,0.046,0.045
441,Spanish,P159,2.581,0.05,0.049
480,Croatian,P364,2.553,0.121,0.118
248,Bulgarian,P138,2.535,0.011,0.011
167,Catalan,P276,2.333,0.021,0.02
458,Spanish,P495,2.311,0.054,0.052
384,Portuguese,P276,2.172,0.017,0.017
300,Slovenian,P641,2.098,0.013,0.013
434,Spanish,P127,1.784,0.012,0.012
338,German,P127,1.731,0.016,0.016
464,Croatian,P106,1.597,0.092,0.09
125,Hungarian,P101,1.266,0.1,0.099
273,Slovenian,P106,1.201,0.105,0.104
57,Ukrainian,P495,1.003,0.003,0.003
245,Bulgarian,P131,0.722,0.026,0.026
595,Romanian,P1412,0.669,0.013,0.013
427,Czech,P641,0.021,0.015,0.015
422,Czech,P407,0.007,0.023,0.023
474,Croatian,P176,-0.041,0.052,0.052
411,Czech,P176,-0.059,0.041,0.041
240,Bulgarian,P103,-0.265,0.017,0.018
83,Dutch,P37,-0.617,0.039,0.04
546,French,P413,-0.621,0.033,0.034
278,Slovenian,P136,-0.656,0.077,0.077
154,Catalan,P1303,-0.706,0.023,0.023
106,Swedish,P176,-0.749,0.021,0.021
508,Danish,P30,-0.881,0.024,0.024
231,Russian,P39,-0.934,0.006,0.006
394,Portuguese,P495,-1.348,0.045,0.046
488,Croatian,P641,-1.532,0.016,0.017
396,Portuguese,P740,-1.77,0.05,0.051
598,Romanian,P176,-2.041,0.025,0.026
511,Danish,P37,-2.172,0.039,0.04
203,Polish,P37,-2.214,0.067,0.068
103,Swedish,P1412,-2.434,0.02,0.021
3,Serbian,P108,-2.76,0.023,0.023
356,German,P37,-2.79,0.049,0.05
551,French,P740,-2.89,0.055,0.056
364,German,P740,-2.892,0.022,0.022
493,Danish,P127,-3.339,0.011,0.011
11,Serbian,P17,-3.344,0.021,0.022
261,Bulgarian,P37,-3.831,0.025,0.026
299,Slovenian,P495,-3.871,0.003,0.003
572,Italian,P30,-4.152,0.025,0.026
82,Dutch,P364,-4.25,0.047,0.049
21,Serbian,P39,-4.303,0.014,0.015
326,English,P407,-4.676,0.022,0.023
557,Italian,P127,-4.775,0.01,0.011
179,Catalan,P740,-4.853,0.06,0.063
16,Serbian,P276,-5.286,0.012,0.012
549,French,P495,-5.526,0.042,0.045
229,Russian,P364,-5.651,0.004,0.004
363,German,P641,-5.868,0.012,0.013
284,Slovenian,P176,-6.467,0.051,0.055
543,French,P37,-6.555,0.018,0.019
413,Czech,P19,-6.784,0.014,0.015
71,Dutch,P1412,-6.869,0.034,0.036
550,French,P641,-7.288,0.004,0.004
47,Ukrainian,P276,-7.413,0.008,0.009
38,Ukrainian,P138,-7.413,0.003,0.003
416,Czech,P276,-7.677,0.011,0.011
388,Portuguese,P37,-7.799,0.046,0.05
558,Italian,P1303,-7.838,0.019,0.021
133,Hungarian,P1412,-8.6,0.043,0.048
269,Bulgarian,P740,-8.83,0.048,0.053
539,French,P276,-8.915,0.017,0.019
238,Russian,P937,-9.351,0.014,0.016
343,German,P138,-9.533,0.002,0.002
232,Russian,P407,-9.94,0.003,0.003
590,Romanian,P1303,-10.648,0.015,0.017
313,English,P159,-10.872,0.037,0.041
575,Italian,P37,-11.055,0.028,0.031
135,Hungarian,P17,-11.087,0.01,0.011
115,Swedish,P37,-11.233,0.022,0.025
419,Czech,P364,-11.359,0.085,0.096
596,Romanian,P159,-11.622,0.05,0.056
6,Serbian,P131,-11.748,0.003,0.003
267,Bulgarian,P495,-11.908,0.045,0.052
481,Croatian,P37,-11.992,0.079,0.09
518,Danish,P641,-12.757,0.008,0.009
56,Ukrainian,P47,-12.86,0.006,0.006
454,Spanish,P407,-12.91,0.013,0.015
583,Italian,P740,-13.495,0.046,0.054
571,Italian,P276,-13.528,0.015,0.018
355,German,P364,-13.931,0.059,0.069
194,Polish,P176,-14.401,0.03,0.036
260,Bulgarian,P364,-14.449,0.044,0.051
371,Portuguese,P1303,-14.493,0.013,0.015
601,Romanian,P20,-14.632,0.051,0.06
514,Danish,P413,-14.792,0.03,0.035
292,Slovenian,P364,-14.928,0.046,0.054
381,Portuguese,P19,-15.192,0.045,0.054
505,Danish,P20,-15.227,0.042,0.049
161,Catalan,P17,-15.495,0.025,0.03
466,Croatian,P127,-15.725,0.013,0.015
603,Romanian,P276,-15.747,0.018,0.021
323,English,P364,-16.205,0.037,0.044
320,English,P276,-16.527,0.013,0.016
25,Serbian,P47,-16.651,0.0,0.001
307,English,P1303,-16.732,0.016,0.019
478,Croatian,P276,-16.819,0.011,0.013
196,Polish,P19,-17.013,0.022,0.026
147,Hungarian,P495,-17.553,0.001,0.001
136,Hungarian,P178,-17.553,0.001,0.001
76,Dutch,P19,-17.877,0.044,0.054
332,English,P740,-18.512,0.038,0.046
600,Romanian,P19,-19.577,0.053,0.066
376,Portuguese,P1412,-19.807,0.024,0.031
65,Dutch,P127,-19.847,0.009,0.011
91,Dutch,P740,-19.889,0.042,0.052
289,Slovenian,P276,-19.892,0.011,0.013
408,Czech,P1412,-20.171,0.015,0.019
72,Dutch,P159,-20.309,0.036,0.046
208,Polish,P47,-20.344,0.01,0.012
610,Romanian,P413,-21.777,0.003,0.004
77,Dutch,P20,-22.203,0.039,0.05
123,Swedish,P740,-22.391,0.043,0.055
519,Danish,P740,-22.397,0.04,0.052
10,Serbian,P159,-22.399,0.004,0.005
382,Portuguese,P20,-22.44,0.038,0.049
89,Dutch,P495,-22.497,0.043,0.055
461,Spanish,P937,-23.399,0.041,0.053
108,Swedish,P19,-24.634,0.043,0.057
114,Swedish,P364,-24.65,0.021,0.027
507,Danish,P276,-24.684,0.013,0.017
349,German,P19,-24.784,0.048,0.064
197,Polish,P20,-24.946,0.011,0.014
502,Danish,P176,-25.502,0.015,0.02
121,Swedish,P495,-25.741,0.035,0.047
59,Ukrainian,P740,-25.931,0.005,0.006
199,Polish,P276,-26.033,0.01,0.013
446,Spanish,P20,-26.834,0.041,0.056
401,Czech,P108,-27.036,0.025,0.034
42,Ukrainian,P176,-27.315,0.039,0.054
111,Swedish,P276,-27.508,0.013,0.018
377,Portuguese,P159,-27.949,0.033,0.046
216,Russian,P127,-28.115,0.032,0.045
118,Swedish,P413,-28.182,0.022,0.03
345,German,P159,-28.414,0.044,0.061
429,Czech,P937,-28.906,0.004,0.005
536,French,P19,-28.952,0.037,0.052
321,English,P30,-29.947,0.025,0.036
324,English,P37,-30.038,0.032,0.046
41,Ukrainian,P17,-30.225,0.018,0.026
504,Danish,P19,-30.536,0.037,0.053
164,Catalan,P19,-30.56,0.038,0.055
290,Slovenian,P30,-30.573,0.006,0.008
153,Catalan,P127,-31.132,0.004,0.006
391,Portuguese,P413,-31.14,0.019,0.027
524,French,P108,-31.553,0.012,0.017
372,Portuguese,P131,-31.735,0.016,0.024
417,Czech,P30,-32.153,0.012,0.018
176,Catalan,P47,-32.256,0.016,0.023
436,Spanish,P131,-32.331,0.019,0.028
370,Portuguese,P127,-32.797,0.007,0.01
569,Italian,P20,-33.15,0.036,0.054
223,Russian,P176,-33.553,0.033,0.05
352,German,P276,-33.678,0.012,0.018
266,Bulgarian,P47,-33.876,0.014,0.021
237,Russian,P740,-33.956,0.002,0.003
227,Russian,P30,-33.956,0.005,0.008
397,Portuguese,P937,-34.355,0.036,0.055
211,Polish,P740,-34.521,0.021,0.032
471,Croatian,P1412,-35.145,0.038,0.058
79,Dutch,P276,-35.325,0.011,0.017
435,Spanish,P1303,-35.896,0.017,0.026
250,Bulgarian,P159,-36.23,0.029,0.046
327,English,P413,-36.236,0.029,0.045
564,Italian,P159,-36.39,0.031,0.049
90,Dutch,P641,-36.495,0.002,0.004
568,Italian,P19,-36.59,0.037,0.058
455,Spanish,P413,-36.907,0.014,0.022
60,Ukrainian,P937,-37.229,0.005,0.007
361,German,P47,-37.4,0.017,0.028
45,Ukrainian,P20,-37.474,0.006,0.01
9,Serbian,P1412,-37.488,0.018,0.029
305,English,P108,-37.628,0.008,0.013
578,Italian,P413,-38.245,0.023,0.038
165,Catalan,P20,-38.397,0.036,0.059
586,Romanian,P103,-38.421,0.002,0.003
537,French,P20,-38.634,0.035,0.058
500,Danish,P159,-38.87,0.027,0.045
92,Dutch,P937,-38.872,0.034,0.056
526,French,P1303,-39.797,0.014,0.023
139,Hungarian,P276,-40.16,0.016,0.027
44,Ukrainian,P19,-40.267,0.005,0.008
124,Swedish,P937,-40.36,0.035,0.058
402,Czech,P127,-40.366,0.01,0.016
365,German,P937,-40.41,0.028,0.046
616,Romanian,P937,-40.794,0.04,0.067
33,Ukrainian,P127,-41.524,0.013,0.022
209,Polish,P495,-41.605,0.002,0.004
222,Russian,P17,-41.726,0.012,0.021
1,Serbian,P103,-41.756,0.027,0.046
444,Spanish,P178,-42.035,0.023,0.039
160,Catalan,P159,-42.359,0.031,0.055
350,German,P20,-42.383,0.036,0.062
286,Slovenian,P19,-43.196,0.002,0.003
252,Bulgarian,P176,-43.498,0.013,0.022
393,Portuguese,P47,-43.841,0.011,0.02
306,English,P127,-43.869,0.006,0.01
532,French,P159,-43.939,0.03,0.053
128,Hungarian,P127,-44.104,0.014,0.025
584,Italian,P937,-44.296,0.034,0.061
243,Bulgarian,P127,-44.721,0.007,0.012
312,English,P1412,-44.729,0.019,0.035
348,German,P178,-45.01,0.012,0.022
187,Polish,P131,-45.053,0.006,0.011
457,Spanish,P47,-45.106,0.013,0.023
97,Swedish,P127,-45.971,0.007,0.012
552,French,P937,-46.044,0.035,0.065
26,Serbian,P495,-46.419,0.001,0.003
104,Swedish,P159,-46.703,0.024,0.045
554,Italian,P103,-46.705,0.016,0.029
449,Spanish,P30,-46.865,0.023,0.043
520,Danish,P937,-47.868,0.028,0.054
272,Slovenian,P103,-47.93,0.001,0.002
593,Romanian,P1376,-47.969,0.008,0.015
374,Portuguese,P1376,-47.979,0.009,0.017
559,Italian,P131,-49.426,0.012,0.024
316,English,P178,-49.669,0.014,0.029
251,Bulgarian,P17,-49.732,0.02,0.04
548,French,P47,-49.776,0.01,0.02
142,Hungarian,P37,-49.924,0.05,0.099
414,Czech,P20,-50.104,0.006,0.012
490,Danish,P103,-50.954,0.012,0.024
73,Dutch,P17,-51.305,0.015,0.032
589,Romanian,P127,-51.538,0.006,0.012
473,Croatian,P17,-51.658,0.005,0.01
438,Spanish,P1376,-51.674,0.009,0.018
69,Dutch,P1376,-52.157,0.008,0.016
88,Dutch,P47,-52.866,0.009,0.02
333,English,P937,-52.925,0.023,0.049
346,German,P17,-52.953,0.018,0.038
168,Catalan,P30,-53.083,0.001,0.002
75,Dutch,P178,-53.14,0.015,0.033
605,Romanian,P36,-54.009,0.01,0.021
137,Hungarian,P19,-54.196,0.002,0.004
492,Danish,P108,-54.24,0.007,0.015
475,Croatian,P178,-54.342,0.037,0.08
380,Portuguese,P178,-54.517,0.015,0.033
580,Italian,P47,-54.632,0.008,0.017
185,Polish,P127,-54.714,0.007,0.015
30,Ukrainian,P103,-54.836,0.009,0.021
476,Croatian,P19,-54.838,0.001,0.003
279,Slovenian,P1376,-54.873,0.014,0.03
291,Slovenian,P36,-54.966,0.019,0.042
20,Serbian,P37,-55.588,0.034,0.076
200,Polish,P30,-55.62,0.005,0.011
193,Polish,P17,-55.62,0.006,0.014
163,Catalan,P178,-55.986,0.016,0.035
39,Ukrainian,P1412,-56.43,0.001,0.002
337,German,P108,-56.482,0.004,0.009
591,Romanian,P131,-56.802,0.013,0.031
369,Portuguese,P108,-57.397,0.006,0.015
612,Romanian,P47,-58.034,0.01,0.023
386,Portuguese,P36,-58.244,0.009,0.022
479,Croatian,P36,-58.437,0.018,0.043
51,Ukrainian,P37,-58.719,0.016,0.04
235,Russian,P495,-58.722,0.002,0.005
180,Catalan,P937,-58.913,0.026,0.064
582,Italian,P641,-58.936,0.002,0.004
535,French,P178,-59.187,0.015,0.036
527,French,P131,-59.311,0.01,0.024
516,Danish,P47,-59.731,0.008,0.019
378,Portuguese,P17,-59.828,0.014,0.035
169,Catalan,P36,-60.477,0.01,0.024
107,Swedish,P178,-60.59,0.014,0.035
201,Polish,P36,-60.66,0.015,0.038
599,Romanian,P178,-61.203,0.016,0.042
67,Dutch,P131,-61.31,0.009,0.024
293,Slovenian,P37,-61.35,0.01,0.025
329,English,P47,-61.44,0.007,0.018
450,Spanish,P36,-61.449,0.008,0.022
529,French,P1376,-61.583,0.008,0.02
224,Russian,P178,-61.691,0.05,0.131
470,Croatian,P1376,-62.032,0.012,0.031
567,Italian,P178,-62.064,0.014,0.036
94,Swedish,P103,-62.284,0.008,0.021
184,Polish,P108,-62.458,0.013,0.035
49,Ukrainian,P36,-63.077,0.015,0.042
225,Russian,P19,-63.309,0.002,0.005
37,Ukrainian,P1376,-63.907,0.011,0.03
120,Swedish,P47,-64.001,0.008,0.021
259,Bulgarian,P36,-64.09,0.008,0.023
433,Spanish,P108,-64.871,0.006,0.018
150,Catalan,P103,-65.085,0.008,0.023
155,Catalan,P131,-65.247,0.01,0.029
459,Spanish,P641,-65.336,0.001,0.004
157,Catalan,P1376,-65.534,0.007,0.019
310,English,P1376,-65.972,0.005,0.016
195,Polish,P178,-66.193,0.026,0.076
465,Croatian,P108,-66.481,0.006,0.017
285,Slovenian,P178,-66.8,0.028,0.084
522,French,P103,-66.904,0.007,0.021
367,Portuguese,P103,-67.108,0.009,0.026
410,Czech,P17,-67.237,0.003,0.009
8,Serbian,P1376,-67.62,0.008,0.026
468,Croatian,P131,-68.219,0.001,0.004
541,French,P36,-68.867,0.008,0.025
501,Danish,P17,-69.158,0.011,0.035
105,Swedish,P17,-69.179,0.012,0.038
412,Czech,P178,-69.659,0.023,0.076
247,Bulgarian,P1376,-69.78,0.005,0.017
503,Danish,P178,-69.901,0.01,0.032
561,Italian,P1376,-70.715,0.005,0.017
130,Hungarian,P131,-70.852,0.006,0.021
62,Dutch,P103,-71.224,0.009,0.03
442,Spanish,P17,-71.431,0.012,0.042
122,Swedish,P641,-71.49,0.002,0.006
132,Hungarian,P1376,-71.505,0.013,0.047
463,Croatian,P103,-71.578,0.012,0.043
18,Serbian,P36,-71.809,0.011,0.038
101,Swedish,P1376,-71.832,0.004,0.015
14,Serbian,P19,-72.217,0.001,0.003
420,Czech,P37,-72.222,0.009,0.033
418,Czech,P36,-72.276,0.011,0.04
495,Danish,P131,-72.642,0.007,0.024
533,French,P17,-72.821,0.011,0.039
228,Russian,P36,-73.501,0.013,0.049
406,Czech,P1376,-73.535,0.008,0.029
340,German,P131,-73.692,0.009,0.033
274,Slovenian,P108,-73.76,0.008,0.032
565,Italian,P17,-73.951,0.008,0.032
43,Ukrainian,P178,-73.964,0.023,0.088
277,Slovenian,P131,-74.496,0.002,0.006
64,Dutch,P108,-74.8,0.003,0.013
556,Italian,P108,-74.992,0.004,0.016
354,German,P36,-75.127,0.007,0.028
189,Polish,P1376,-75.246,0.007,0.026
573,Italian,P36,-75.256,0.006,0.023
335,German,P103,-75.291,0.007,0.028
99,Swedish,P131,-75.447,0.006,0.026
509,Danish,P36,-75.644,0.005,0.021
96,Swedish,P108,-76.57,0.004,0.016
588,Romanian,P108,-76.713,0.005,0.02
113,Swedish,P36,-76.77,0.005,0.021
342,German,P1376,-76.84,0.005,0.02
283,Slovenian,P17,-76.956,0.007,0.03
253,Bulgarian,P178,-76.995,0.008,0.036
597,Romanian,P17,-78.272,0.008,0.038
152,Catalan,P108,-78.293,0.004,0.017
134,Hungarian,P159,-78.303,0.001,0.004
182,Polish,P103,-80.074,0.005,0.026
81,Dutch,P36,-80.088,0.004,0.021
497,Danish,P1376,-80.707,0.003,0.016
308,English,P131,-81.788,0.004,0.022
404,Czech,P131,-81.871,0.001,0.005
322,English,P36,-82.524,0.004,0.021
191,Polish,P1412,-82.765,0.002,0.011
140,Hungarian,P36,-83.148,0.012,0.068
614,Romanian,P641,-83.462,0.001,0.006
301,Slovenian,P937,-85.123,0.003,0.018
220,Russian,P1376,-85.258,0.005,0.034
331,English,P641,-86.173,0.001,0.01
399,Czech,P103,-86.926,0.003,0.022
281,Slovenian,P1412,-87.183,0.001,0.008
314,English,P17,-87.568,0.004,0.032
303,English,P103,-90.718,0.003,0.035
287,Slovenian,P20,-94.371,0.001,0.009
